clinic_id,location_ny,location_nj,location_ct,location_virtual,location_home,clinic_individual,clinic_chain,clinic_hospital,clinic_med_spa,clinic_telehealth,clinic_home,rater,visits_person,visits_virtual,visits_home,visits_d_nspecify,types_drugs,form_infusion,form_injection,form_oral,form_nasal,form_d_nspecify,degree,cost,insurance,depression,bipolar_disorder,ocd,ptsd,anxiety,schizophrenia,sud,eating_disorders,disorder_d_nspecify,promotional,benefits,citations,risk,other_adhd,other_stress_fatigue,other_autism,other_pain,other_parkinsons,other_stroke,other_ppd,other_end,other_headache,other_suicide,other_cancer,other_grief,other_lyme,other_sleep,other_leg,other_mh,other_sexual,other_tbi,other_pain_head,depressive_disorders,state
75,0,0,1,1,0,0,0,0,0,Telehealth Yes,0,3,0,1,0,0,0,0,0,1,0,0,0,1,0,1,0,0,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,Single State
76,1,0,0,0,0,1,0,0,0,Telehealth No,0,3,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,Single State
77,1,0,0,0,0,1,0,0,0,Telehealth Yes,0,3,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,Single State
78,0,1,0,0,0,1,0,0,0,Telehealth No,0,3,1,0,0,0,0,1,0,0,0,0,1,0,1,1,1,0,0,1,0,0,0,0,0,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,Single State
79,0,0,1,1,0,1,0,0,0,Telehealth Yes,0,3,1,1,0,0,0,0,1,1,0,0,0,0,0,1,0,0,1,1,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,Single State
80,0,0,1,0,0,1,0,0,0,Telehealth No,0,3,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,Single State
81,1,0,0,0,0,1,0,0,0,Telehealth No,0,3,1,0,0,0,0,1,0,0,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,Single State
82,1,0,0,0,0,1,0,0,0,Telehealth No,0,3,1,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,Single State
83,1,0,0,0,0,1,0,0,0,Telehealth No,0,3,0,0,0,1,0,1,0,0,0,0,1,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,Single State
84,1,0,0,0,0,1,0,0,0,Telehealth No,0,3,1,0,0,0,1,1,0,0,0,0,1,1,1,1,0,0,1,1,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,Single State
